metrica,valor
n_residuals,1826.0
media,2.7289
std,16.5341
min,-113.9228
max,130.7341
asimetria (skew),0.1458
curtosis (kurtosis),18.0738
Durbin-Watson,2.505
t-test media=0 (p),0.0
Shapiro-Wilk (p),0.0
Jarque-Bera (p),0.0
ARCH LM (p),0.0
Ljung-Box lag 10 (p),0.0
Ljung-Box lag 20 (p),0.0
Ljung-Box lag 24 (p),0.0
