metrica,valor
n_residuals,2192.0
media,0.2986
std,29.3797
min,-267.989
max,1111.2436
asimetria (skew),24.5328
curtosis (kurtosis),937.6268
Durbin-Watson,1.6715
t-test media=0 (p),0.6342
Shapiro-Wilk (p),0.0
Jarque-Bera (p),0.0
ARCH LM (p),0.0
Ljung-Box lag 10 (p),0.0
Ljung-Box lag 20 (p),0.0
Ljung-Box lag 24 (p),0.0
