;Fecha y hora;CO;NO;NO2;NOX;O3;PM10;PM2.5;PRS;RAINF;RH;SO2;SR;TOUT;WSR;WDR
0;2023-01-01 00:00:00;1.67;4.1;30.3;34.5;9.0;118.0;94.12;718.4;0.0;45.0;3.3;0.0;17.65;4.9;236.0
1;2023-01-01 01:00:00;1.7;5.0;28.9;34.1;9.0;97.0;96.79;710.7;0.0;47.0;3.4;0.001;17.12;3.4;336.0
2;2023-01-01 02:00:00;1.51;4.3;23.2;27.7;11.0;103.0;81.23;710.4;0.0;46.0;3.4;0.001;16.69;3.4;3.0
3;2023-01-01 03:00:00;1.3;3.8;20.9;24.9;11.0;83.0;49.83;710.1;0.0;48.0;3.2;0.001;15.99;2.6;315.0
4;2023-01-01 04:00:00;1.28;4.6;20.7;25.5;9.0;65.0;40.19;710.2;0.0;55.0;3.0;0.001;14.74;3.9;270.0
5;2023-01-01 05:00:00;2.12;19.8;30.6;50.6;4.0;67.0;;710.2;0.0;61.0;3.1;0.001;14.53;3.4;242.0
6;2023-01-01 06:00:00;1.54;7.0;23.7;30.8;7.0;147.0;108.13;710.2;0.0;55.0;3.0;0.001;14.55;3.4;307.0
7;2023-01-01 07:00:00;1.04;3.8;13.6;17.6;16.0;84.0;35.0;710.2;0.0;43.0;3.3;0.001;16.08;7.1;232.0
8;2023-01-01 08:00:00;0.98;3.7;12.3;16.3;19.0;43.0;13.23;710.6;0.0;39.0;3.2;0.007;16.6;6.3;222.0
9;2023-01-01 09:00:00;1.04;6.5;14.9;21.7;19.0;36.0;12.31;711.0;0.0;33.0;3.1;0.028;19.7;3.5;18.0
10;2023-01-01 10:00:00;1.0;6.2;12.4;18.8;25.0;41.0;13.05;711.2;0.0;27.0;3.1;0.087;22.98;4.1;294.0
11;2023-01-01 11:00:00;0.92;5.2;9.5;14.9;28.0;44.0;9.3;711.1;0.0;21.0;3.3;0.457;26.13;4.5;94.0
12;2023-01-01 12:00:00;0.9;5.0;9.1;14.3;34.0;33.0;7.84;710.6;0.0;18.0;3.5;0.586;27.96;4.3;26.0
13;2023-01-01 13:00:00;1.01;9.1;20.9;30.2;33.0;41.0;11.74;709.9;0.0;17.0;6.0;0.652;29.14;5.2;58.0
14;2023-01-01 14:00:00;1.12;6.4;19.7;26.3;47.0;48.0;20.56;709.0;0.0;17.0;9.9;0.634;29.69;7.8;86.0
15;2023-01-01 15:00:00;0.96;3.6;8.1;12.0;54.0;55.0;13.01;708.4;0.0;15.0;3.0;0.549;30.58;8.7;70.0
16;2023-01-01 16:00:00;0.94;3.5;7.5;11.3;50.0;32.0;10.25;708.1;0.0;15.0;2.7;0.286;30.43;10.8;71.0
17;2023-01-01 17:00:00;1.03;3.2;9.6;13.0;60.0;37.0;14.61;708.0;0.0;18.0;6.5;0.071;29.53;11.6;84.0
18;2023-01-01 18:00:00;1.18;3.2;16.5;19.8;68.0;55.0;29.78;708.2;0.0;24.0;22.9;0.019;27.35;7.9;73.0
19;2023-01-01 19:00:00;1.22;3.2;17.0;20.4;65.0;75.0;36.26;708.4;0.0;27.0;18.0;0.001;25.75;7.1;55.0
20;2023-01-01 20:00:00;1.19;3.2;15.4;18.7;52.0;74.0;34.78;708.8;0.0;29.0;13.7;0.001;24.28;3.3;51.0
21;2023-01-01 21:00:00;1.26;3.2;19.9;23.3;40.0;58.0;32.93;709.0;0.0;32.0;10.6;0.001;23.05;4.3;289.0
22;2023-01-01 22:00:00;1.7;3.6;37.5;41.2;14.0;65.0;44.47;708.7;0.0;41.0;6.9;0.001;22.45;7.4;311.0
23;2023-01-01 23:00:00;1.69;3.5;25.0;28.7;14.0;93.0;37.73;708.6;0.0;49.0;5.3;0.001;21.57;4.3;302.0
24;2023-01-02 00:00:00;2.17;3.8;30.3;34.2;7.0;67.0;37.55;708.2;0.0;54.0;4.5;0.001;20.13;3.6;238.0
25;2023-01-02 01:00:00;1.72;4.1;32.0;36.3;6.0;72.0;42.65;707.9;0.0;57.0;4.0;0.001;19.04;3.5;257.0
26;2023-01-02 02:00:00;1.61;3.8;29.3;33.3;8.0;73.0;40.42;707.7;0.0;59.0;3.9;0.001;18.32;3.4;259.0
27;2023-01-02 03:00:00;1.46;4.4;31.1;35.7;6.0;66.0;40.32;707.5;0.0;59.0;4.1;0.001;17.28;3.4;240.0
28;2023-01-02 04:00:00;1.3;3.8;27.5;31.5;8.0;78.0;41.78;707.5;0.0;61.0;4.5;0.001;16.98;3.4;264.0
29;2023-01-02 05:00:00;1.24;3.9;19.8;23.9;9.0;84.0;35.78;707.4;0.0;67.0;3.8;0.001;16.4;3.1;236.0
30;2023-01-02 06:00:00;1.3;5.3;25.5;31.0;7.0;73.0;40.94;707.4;0.0;60.0;4.7;0.001;16.11;3.8;232.0
31;2023-01-02 07:00:00;1.5;17.2;28.3;45.8;4.0;115.0;43.06;707.7;0.0;62.0;4.6;0.001;15.58;4.0;195.0
32;2023-01-02 08:00:00;1.64;39.8;29.1;69.2;4.0;117.0;40.05;707.7;0.0;45.0;5.5;0.011;17.91;5.2;198.0
33;2023-01-02 09:00:00;1.44;41.3;28.5;70.0;5.0;146.0;20.67;707.8;0.0;31.0;5.4;0.041;20.81;5.8;182.0
34;2023-01-02 10:00:00;2.16;93.7;41.2;135.3;5.0;89.0;20.64;708.2;0.0;33.0;14.0;0.146;22.3;5.9;30.0
35;2023-01-02 11:00:00;1.66;31.4;34.5;66.1;14.0;134.0;34.53;708.7;0.0;35.0;9.2;0.422;23.38;7.0;82.0
36;2023-01-02 12:00:00;1.27;11.2;23.7;35.1;25.0;91.0;21.12;708.3;0.0;27.0;5.3;0.451;26.2;5.3;102.0
37;2023-01-02 13:00:00;1.33;9.4;27.2;36.7;32.0;59.0;19.34;707.7;0.0;27.0;5.1;0.42;26.76;7.9;79.0
38;2023-01-02 14:00:00;1.26;7.1;23.5;30.9;41.0;72.0;21.79;706.8;0.0;24.0;4.6;0.51;28.07;7.7;88.0
39;2023-01-02 15:00:00;1.15;5.4;19.9;25.5;44.0;77.0;17.04;706.2;0.0;20.0;4.0;0.311;28.22;9.2;101.0
40;2023-01-02 16:00:00;1.1;4.9;15.7;20.8;41.0;69.0;13.78;705.8;0.0;22.0;4.0;0.252;28.9;8.4;102.0
41;2023-01-02 17:00:00;1.13;4.4;16.4;21.0;38.0;59.0;13.58;705.8;0.0;25.0;4.2;0.099;28.04;9.1;94.0
42;2023-01-02 18:00:00;1.24;5.1;25.2;30.5;27.0;55.0;14.81;705.9;0.0;27.0;4.0;0.031;26.63;6.1;103.0
43;2023-01-02 19:00:00;1.49;13.9;33.3;47.4;17.0;59.0;14.5;706.2;0.0;26.0;3.9;0.002;25.66;6.2;129.0
44;2023-01-02 20:00:00;1.71;24.8;45.2;70.2;4.0;60.0;15.87;706.7;0.0;29.0;3.7;0.001;23.49;3.9;241.0
45;2023-01-02 21:00:00;1.43;14.2;38.3;52.7;4.0;61.0;13.73;707.2;0.0;31.0;3.3;0.001;21.7;3.6;262.0
46;2023-01-02 22:00:00;1.62;26.3;40.3;66.7;4.0;55.0;16.95;707.4;0.0;30.0;5.7;0.001;21.38;3.5;135.0
47;2023-01-02 23:00:00;1.8;54.3;42.0;96.6;;76.0;27.79;707.4;0.0;30.0;12.3;0.001;20.71;4.0;239.0
48;2023-01-03 00:00:00;1.52;33.4;38.7;72.4;;120.0;31.03;707.7;0.0;30.0;9.0;0.001;20.18;4.3;228.0
49;2023-01-03 01:00:00;1.32;25.5;37.2;63.0;;92.0;25.5;708.0;0.0;28.0;7.1;0.001;20.27;5.2;244.0
50;2023-01-03 02:00:00;1.16;14.8;34.4;49.4;5.0;98.0;21.69;708.0;0.0;29.0;6.2;0.001;19.65;4.6;258.0
51;2023-01-03 03:00:00;1.08;6.0;32.1;38.3;5.0;86.0;19.18;708.1;0.0;29.0;9.1;0.001;19.45;4.5;222.0
52;2023-01-03 04:00:00;1.08;4.7;31.6;36.4;5.0;93.0;23.36;708.3;0.0;29.0;10.4;0.001;19.37;4.2;177.0
53;2023-01-03 05:00:00;0.99;4.2;24.0;28.4;9.0;99.0;22.45;708.6;0.0;27.0;8.3;0.001;19.63;4.7;210.0
54;2023-01-03 06:00:00;0.98;4.6;21.1;25.9;8.0;82.0;19.0;708.9;0.0;27.0;8.1;0.001;19.47;4.8;191.0
55;2023-01-03 07:00:00;1.03;9.4;22.7;32.3;7.0;90.0;14.93;709.2;0.0;27.0;7.2;0.001;19.19;4.2;291.0
56;2023-01-03 08:00:00;1.28;28.3;29.2;57.7;5.0;98.0;15.56;709.6;0.0;26.0;8.4;0.006;19.71;5.5;274.0
57;2023-01-03 09:00:00;1.52;36.1;31.3;67.6;9.0;106.0;18.76;710.2;0.0;30.0;4.9;0.029;18.99;4.3;48.0
58;2023-01-03 10:00:00;1.42;37.7;33.0;70.9;9.0;119.0;21.3;710.6;0.0;27.0;9.1;0.085;19.85;8.0;107.0
59;2023-01-03 11:00:00;1.4;31.0;32.2;63.3;13.0;155.0;22.71;710.7;0.0;24.0;18.0;0.444;21.6;7.7;100.0
60;2023-01-03 12:00:00;1.16;19.5;27.1;46.7;20.0;151.0;22.55;710.2;0.0;21.0;18.7;0.601;23.52;8.4;82.0
61;2023-01-03 13:00:00;1.03;10.8;18.8;29.9;28.0;114.0;15.84;709.4;0.0;19.0;9.6;0.644;24.64;9.5;67.0
62;2023-01-03 14:00:00;1.05;7.4;17.5;25.1;37.0;92.0;10.86;708.4;0.0;17.0;3.4;0.632;25.94;10.8;57.0
63;2023-01-03 15:00:00;1.05;6.1;16.5;22.8;46.0;72.0;12.57;707.8;0.0;18.0;3.8;0.542;26.85;11.3;54.0
64;2023-01-03 16:00:00;1.04;4.7;14.6;19.5;50.0;78.0;11.95;707.5;0.0;17.0;3.5;0.298;27.35;10.6;56.0
65;2023-01-03 17:00:00;1.02;3.9;13.9;18.0;52.0;62.0;11.61;707.7;0.0;18.0;3.5;0.068;27.14;9.2;106.0
66;2023-01-03 18:00:00;1.16;3.8;23.1;27.1;41.0;67.0;11.97;708.4;0.0;21.0;4.7;0.021;25.31;9.0;75.0
67;2023-01-03 19:00:00;1.3;5.6;35.8;41.6;16.0;67.0;12.39;709.2;0.0;22.0;5.0;0.001;23.27;8.9;41.0
68;2023-01-03 20:00:00;1.08;4.0;25.4;29.6;18.0;73.0;10.93;710.3;0.0;22.0;6.0;0.001;22.09;9.0;45.0
69;2023-01-03 21:00:00;1.21;7.0;34.7;41.9;8.0;57.0;9.55;711.2;0.0;25.0;6.2;0.001;20.13;2.9;253.0
70;2023-01-03 22:00:00;1.48;27.3;39.9;67.4;4.0;53.0;14.15;711.7;0.0;30.0;6.8;0.001;18.66;3.3;236.0
71;2023-01-03 23:00:00;1.52;30.4;40.5;71.1;4.0;66.0;16.95;712.1;0.0;32.0;5.3;0.001;18.03;3.1;187.0
72;2023-01-04 00:00:00;1.4;20.6;39.8;60.7;4.0;66.0;14.49;712.4;0.0;36.0;5.2;0.001;16.95;2.6;26.0
73;2023-01-04 01:00:00;1.46;25.7;38.8;64.7;;55.0;14.91;712.5;0.0;35.0;4.6;0.001;16.89;4.1;251.0
74;2023-01-04 02:00:00;1.27;11.8;36.7;48.7;5.0;57.0;14.55;712.4;0.0;36.0;4.3;0.001;16.59;3.5;250.0
75;2023-01-04 03:00:00;1.32;31.3;41.7;73.2;5.0;59.0;32.3;712.3;0.0;35.0;16.4;0.001;16.14;4.1;238.0
76;2023-01-04 04:00:00;1.18;24.0;40.0;64.2;5.0;168.0;47.91;712.1;0.0;35.0;15.8;0.001;15.93;4.7;244.0
77;2023-01-04 05:00:00;1.07;5.9;32.0;38.1;7.0;158.0;34.1;712.4;0.0;34.0;10.8;0.001;15.58;3.1;254.0
78;2023-01-04 06:00:00;1.04;4.9;29.0;34.0;8.0;97.0;23.96;712.7;0.0;34.0;9.6;0.001;15.33;4.2;245.0
79;2023-01-04 07:00:00;1.1;11.9;34.2;46.4;5.0;81.0;23.68;713.2;0.0;34.0;11.3;0.001;15.17;5.0;235.0
80;2023-01-04 08:00:00;1.22;20.3;34.8;55.3;5.0;98.0;22.26;713.8;0.0;34.0;10.4;0.009;15.15;3.8;242.0
81;2023-01-04 09:00:00;1.66;54.8;36.2;91.3;5.0;90.0;20.88;714.6;0.0;30.0;9.0;0.036;18.15;3.4;196.0
82;2023-01-04 10:00:00;1.5;30.5;36.9;67.6;11.0;112.0;27.69;715.2;0.0;25.0;11.1;0.095;20.57;4.7;196.0
83;2023-01-04 11:00:00;1.66;20.2;34.2;54.6;20.0;114.0;29.22;715.3;0.0;22.0;10.8;0.427;22.33;4.9;50.0
84;2023-01-04 12:00:00;1.2;11.5;25.3;37.1;31.0;103.0;23.89;715.1;0.0;22.0;6.6;0.559;22.47;8.5;63.0
85;2023-01-04 13:00:00;1.1;7.3;20.0;27.5;43.0;84.0;14.27;714.5;0.0;23.0;8.7;0.631;23.28;8.9;60.0
86;2023-01-04 14:00:00;1.09;5.4;17.1;22.7;56.0;69.0;15.25;713.8;0.0;22.0;11.3;0.62;23.98;9.8;46.0
87;2023-01-04 15:00:00;1.06;4.5;15.7;20.4;67.0;77.0;17.14;713.4;0.0;22.0;12.5;0.537;24.56;11.1;52.0
88;2023-01-04 16:00:00;1.04;4.0;14.7;18.9;67.0;79.0;17.11;713.1;0.0;22.0;13.4;0.301;25.0;11.3;61.0
89;2023-01-04 17:00:00;1.05;4.0;15.1;19.2;57.0;74.0;15.64;713.0;0.0;22.0;8.7;0.068;24.64;10.5;80.0
90;2023-01-04 18:00:00;1.07;3.6;18.0;21.8;47.0;72.0;12.28;713.3;0.0;25.0;4.6;0.019;23.32;8.7;110.0
91;2023-01-04 19:00:00;1.23;4.1;26.9;31.2;32.0;55.0;12.42;713.7;0.0;28.0;3.9;0.001;21.96;6.7;86.0
92;2023-01-04 20:00:00;1.25;4.3;27.4;31.9;28.0;62.0;13.36;714.3;0.0;31.0;3.7;0.001;20.92;4.7;86.0
93;2023-01-04 21:00:00;1.24;4.0;28.2;32.4;24.0;60.0;14.38;714.8;0.0;33.0;3.6;0.001;19.93;3.0;87.0
94;2023-01-04 22:00:00;1.16;3.6;26.0;29.8;23.0;55.0;14.39;715.2;0.0;35.0;3.4;0.001;19.18;3.1;288.0
95;2023-01-04 23:00:00;1.11;3.9;20.8;24.9;26.0;56.0;16.83;715.4;0.0;38.0;4.2;0.001;18.46;5.6;43.0
96;2023-01-05 00:00:00;1.06;3.3;20.2;23.7;22.0;70.0;;715.8;0.0;42.0;4.3;0.001;16.97;3.7;292.0
97;2023-01-05 01:00:00;1.24;3.4;26.7;30.2;14.0;70.0;;715.9;0.0;45.0;4.0;0.001;16.03;3.8;265.0
98;2023-01-05 02:00:00;1.17;3.4;25.3;28.9;15.0;77.0;;715.7;0.0;46.0;3.7;0.001;15.78;4.4;248.0
99;2023-01-05 03:00:00;1.2;;30.8;34.4;9.0;68.0;;715.6;0.0;50.0;4.5;0.001;14.6;3.3;257.0
100;2023-01-05 04:00:00;1.21;;26.4;29.9;12.0;78.0;;715.6;0.0;50.0;4.5;0.001;14.37;3.9;254.0
101;2023-01-05 05:00:00;1.22;4.1;31.6;35.8;6.0;82.0;;715.9;0.0;52.0;4.2;0.001;13.87;3.4;234.0
102;2023-01-05 06:00:00;1.14;3.5;27.1;30.8;9.0;80.0;;716.1;0.0;53.0;3.8;0.001;13.24;3.0;255.0
103;2023-01-05 07:00:00;1.2;20.9;36.2;57.3;5.0;84.0;;716.5;0.0;50.0;4.8;0.001;13.13;3.4;259.0
