;Fecha y hora;CO;NO;NO2;NOX;O3;PM10;PM2.5;PRS;RAINF;RH;SO2;SR;TOUT;WSR;WDR
0;2021-01-01 00:00:00;;;;;;;;;;;;;;;
1;2021-01-01 01:00:00;4.73;;;;27.0;68.0;46.0;709.7;0.0;67.0;3.3;0.167;8.26;7.9;78.0
2;2021-01-01 02:00:00;4.72;;;;23.0;55.0;47.64;710.1;0.0;70.0;3.3;0.165;7.15;4.8;47.0
3;2021-01-01 03:00:00;4.82;;;;25.0;57.0;52.07;710.4;0.0;73.0;3.6;0.164;6.2;5.2;349.0
4;2021-01-01 04:00:00;5.02;;;;25.0;65.0;61.62;710.6;0.0;74.0;3.5;0.164;5.64;3.2;358.0
5;2021-01-01 05:00:00;4.79;;;;19.0;71.0;49.13;710.6;0.0;76.0;3.6;0.163;5.08;3.0;19.0
6;2021-01-01 06:00:00;4.77;;;;20.0;60.0;48.03;710.8;0.0;78.0;3.4;0.163;4.73;2.4;8.0
7;2021-01-01 07:00:00;4.73;;;;17.0;57.0;37.1;711.3;0.0;77.0;3.5;0.163;4.68;3.0;16.0
8;2021-01-01 08:00:00;4.76;;;;13.0;47.0;29.57;711.9;0.0;78.0;3.3;0.163;4.39;4.7;14.0
9;2021-01-01 09:00:00;4.64;;;;15.0;45.0;25.13;712.4;0.0;76.0;3.3;0.164;4.6;4.5;10.0
10;2021-01-01 10:00:00;4.62;;;;20.0;30.0;25.99;712.9;0.0;69.0;3.9;0.166;6.31;4.7;36.0
11;2021-01-01 11:00:00;4.58;;;;20.0;39.0;24.0;713.3;0.0;63.0;4.9;0.169;8.14;6.1;43.0
12;2021-01-01 12:00:00;4.54;;;;20.0;41.0;22.75;713.6;0.0;61.0;6.3;0.17;8.97;6.5;42.0
13;2021-01-01 13:00:00;4.53;;;;24.0;37.0;17.37;712.8;0.0;57.0;5.7;0.172;10.29;6.8;61.0
14;2021-01-01 14:00:00;4.5;;;;24.0;28.0;12.31;712.4;0.0;56.0;4.5;0.172;10.62;8.4;56.0
15;2021-01-01 15:00:00;4.53;;;;25.0;29.0;13.91;712.1;0.0;55.0;6.7;0.171;10.53;9.4;65.0
