Estacion,Fecha,Horas_Registradas,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RH,SO2,SR,TOUT,WDR,WSR,RAINF
CE,2020-01-01,24.0,3.152173913043478,4.156521739130435,6.656521739130436,10.817391304347826,15.478260869565217,64.16695652173914,39.64391304347826,711.1521739130435,89.04347826086956,2.691304347826087,0.15999999999999998,12.357391304347827,198.1304347826087,2.4130434782608696,0.0
CE,2020-01-02,24.0,3.2449999999999997,8.4125,9.229166666666666,17.6375,19.166666666666668,37.85695652173913,9.319130434782608,705.4083333333333,62.083333333333336,2.8791666666666664,0.16870833333333332,16.812916666666666,201.5,3.7625000000000006,0.0
CE,2020-01-03,24.0,2.9162500000000002,4.558333333333334,6.325,10.883333333333333,32.791666666666664,37.93958333333333,8.061666666666667,711.5333333333333,35.291666666666664,3.6374999999999997,0.16654166666666667,17.174583333333334,260.6666666666667,9.875,0.0
CE,2020-01-04,24.0,3.0245833333333336,5.670833333333333,9.579166666666666,15.245833333333335,25.75,47.499583333333334,16.165833333333335,719.6208333333334,39.166666666666664,3.9166666666666674,0.172625,14.604583333333332,179.95833333333334,3.679166666666667,0.0
CE,2020-01-05,24.0,3.1575,5.0249999999999995,12.058333333333332,17.033333333333335,28.476190476190474,62.83833333333333,27.4575,718.2541666666666,40.083333333333336,7.495833333333334,0.17520833333333333,15.855416666666665,183.125,3.6625,0.0
CE,2020-01-06,24.0,3.5208333333333335,9.325000000000001,19.208333333333332,28.504166666666666,25.291666666666668,93.91208333333334,35.165,714.2208333333333,33.125,9.25,0.18770833333333334,18.758333333333336,187.95833333333334,3.0583333333333336,0.0
CE,2020-01-07,24.0,3.028333333333333,4.2375,8.320833333333333,12.554166666666667,37.125,55.50875,12.225833333333334,719.1416666666668,33.208333333333336,5.933333333333334,0.17208333333333337,16.46375,101.58333333333333,7.479166666666667,0.0
CE,2020-01-08,24.0,3.26625,7.0125,10.066666666666668,17.05,29.291666666666668,67.69416666666667,23.54875,715.6041666666666,61.166666666666664,4.433333333333333,0.172875,15.363333333333335,153.375,4.8999999999999995,0.0
CE,2020-01-09,24.0,3.9129166666666673,17.45,17.229166666666668,34.645833333333336,14.952380952380953,112.54708333333333,46.302083333333336,710.9,66.95833333333333,6.891666666666666,0.18962500000000002,17.2975,197.91666666666666,2.4166666666666665,0.0
CE,2020-01-10,24.0,4.16,16.420833333333334,20.541666666666664,36.954166666666666,13.208333333333334,149.29749999999999,65.48416666666667,706.975,67.91666666666667,7.0375000000000005,0.19099999999999998,18.437083333333334,193.33333333333334,3.4124999999999996,0.0
CE,2020-01-11,24.0,3.111666666666667,4.891666666666667,7.0874999999999995,11.954166666666667,34.291666666666664,69.12833333333333,12.01,713.5875,26.0,3.766666666666667,0.16979166666666667,17.794166666666666,152.83333333333334,6.908333333333334,0.0
CE,2020-01-12,24.0,3.3525000000000005,4.995833333333334,10.9375,15.929166666666667,32.0,73.33166666666666,26.982916666666668,713.8000000000001,35.958333333333336,5.495833333333333,0.17037500000000003,15.317083333333334,177.625,3.975,0.0
CE,2020-01-13,24.0,4.014583333333333,15.0625,19.491666666666664,34.50416666666666,15.521739130434783,120.64416666666666,44.106249999999996,713.7833333333334,49.958333333333336,10.358333333333333,0.19145833333333337,17.328333333333333,226.58333333333334,2.141666666666666,0.0
CE,2020-01-14,24.0,3.123333333333333,14.879166666666665,22.6125,37.47083333333333,27.52173913043478,159.0875,66.28375,712.4666666666666,51.791666666666664,12.604166666666666,0.19608333333333336,19.393333333333334,178.91666666666666,3.154166666666667,0.0
CE,2020-01-15,24.0,2.2683333333333335,12.995833333333332,21.083333333333332,34.0625,12.173913043478262,158.45380952380953,73.00666666666666,712.1750000000001,68.58333333333333,6.929166666666666,0.19245833333333331,19.370833333333334,205.45833333333334,3.1666666666666665,0.0
CE,2020-01-16,24.0,1.8858333333333335,10.254166666666665,9.950000000000001,20.17083333333333,11.863636363636363,76.65375,34.21958333333333,714.0583333333334,75.0,2.725,0.18120833333333333,20.130416666666665,168.875,5.170833333333333,0.0
CE,2020-01-17,24.0,1.7587499999999998,9.500000000000002,7.308333333333333,16.779166666666665,12.458333333333334,47.95541666666667,17.505416666666665,714.0041666666666,85.70833333333333,2.0,0.17570833333333333,18.748333333333335,83.83333333333333,5.370833333333334,0.0
CE,2020-01-18,24.0,1.9716666666666667,13.0625,9.104166666666666,22.154166666666665,16.416666666666668,66.13125000000001,28.3125,714.8916666666668,76.79166666666667,3.079166666666667,0.1824583333333333,19.364166666666666,132.5,4.445833333333334,0.0
CE,2020-01-19,24.0,1.575,5.216666666666666,7.704166666666667,12.891666666666666,20.75,53.28416666666667,16.365,719.5041666666667,61.041666666666664,4.125,0.169,13.748333333333333,65.08333333333333,6.641666666666667,0.0
CE,2020-01-20,24.0,1.43625,3.7083333333333335,4.691666666666666,8.4,36.083333333333336,35.674166666666665,8.99875,721.3083333333334,51.916666666666664,2.495833333333333,0.163625,12.050000000000002,120.41666666666667,7.970833333333334,0.0
CE,2020-01-21,24.0,1.5520833333333333,3.954166666666666,6.262499999999999,10.1875,28.958333333333332,17.0,10.832,718.15,75.04166666666667,1.9624999999999997,0.16195833333333332,10.98375,102.20833333333333,7.054166666666667,0.0
CE,2020-01-22,24.0,2.3270833333333334,21.337500000000002,11.120833333333332,32.4,13.380952380952381,59.541666666666664,,711.2875,74.25,3.4375,0.18341666666666664,14.036666666666667,211.20833333333334,3.4375,0.0
CE,2020-01-23,24.0,2.36375,22.979166666666668,10.362499999999999,33.300000000000004,24.136363636363637,69.33333333333333,36.60166666666667,711.1875,55.5,5.375,0.18866666666666665,17.495,157.16666666666666,4.583333333333333,0.0
CE,2020-01-24,24.0,1.63875,4.529166666666667,5.625,10.129166666666668,35.916666666666664,23.91304347826087,14.88,713.7833333333333,58.166666666666664,3.920833333333333,0.16591666666666668,16.318749999999998,106.75,8.8375,0.0
CE,2020-01-25,24.0,2.2404166666666665,12.9125,12.870833333333332,25.741666666666664,15.0,56.083333333333336,,712.2374999999998,76.70833333333333,3.545833333333333,0.17970833333333333,15.818333333333333,143.41666666666666,3.2458333333333336,0.0
CE,2020-01-26,24.0,2.0399999999999996,10.070833333333333,9.204166666666667,19.2375,24.833333333333332,43.208333333333336,,711.6791666666668,47.333333333333336,3.8250000000000006,0.18004166666666666,21.280416666666667,146.45833333333334,4.1875,0.0
CE,2020-01-27,24.0,1.9279166666666665,7.5,11.583333333333334,19.041666666666664,31.166666666666668,42.5,20.023333333333333,710.3833333333336,41.0,7.329166666666667,0.17870833333333333,21.133333333333333,166.66666666666666,4.991666666666666,0.0
CE,2020-01-28,24.0,1.93625,6.966666666666666,8.950000000000001,15.887499999999998,24.541666666666668,53.375,22.02458333333333,709.5708333333333,48.125,3.129166666666667,0.1748333333333333,20.855416666666667,163.33333333333334,5.754166666666666,0.0
CE,2020-01-29,24.0,1.7579166666666666,4.145833333333333,7.204166666666667,11.291666666666666,34.833333333333336,73.5,13.827083333333334,712.7166666666667,28.708333333333332,3.1666666666666665,0.16666666666666666,16.437916666666666,98.04166666666667,6.870833333333333,0.0
CE,2020-01-30,24.0,1.8791666666666667,5.145833333333333,10.250000000000002,15.370833333333332,21.958333333333332,56.791666666666664,26.425,710.7791666666668,58.166666666666664,6.8125,0.16425,12.537916666666668,61.5,6.445833333333333,0.0
CE,2020-01-31,24.0,2.0437499999999997,9.766666666666667,10.233333333333333,19.970833333333335,17.333333333333332,62.083333333333336,36.91842105263157,714.2708333333334,72.16666666666667,4.791666666666667,0.17004166666666667,11.594999999999999,95.75,5.808333333333334,0.0
CE,2020-02-01,24.0,2.0643478260869568,6.386956521739131,12.030434782608696,18.38695652173913,21.434782608695652,58.30434782608695,34.79260869565218,718.4260869565217,52.30434782608695,3.7956521739130435,0.17456521739130434,14.282173913043476,151.69565217391303,3.4565217391304346,0.0
CE,2020-02-02,24.0,2.2758333333333334,6.279166666666666,12.008333333333333,18.241666666666664,33.26086956521739,62.25,44.567894736842106,714.7166666666667,43.791666666666664,5.804166666666666,0.17466666666666666,16.33458333333333,182.41666666666666,3.4500000000000006,0.0
CE,2020-02-03,24.0,2.56,9.354166666666666,16.154166666666665,25.479166666666668,19.636363636363637,70.375,,708.5833333333334,49.75,6.866666666666666,0.18108333333333335,18.87625,199.20833333333334,3.391666666666667,0.0
CE,2020-02-04,24.0,2.4737500000000003,15.670833333333333,14.7875,30.425,19.416666666666668,62.208333333333336,,706.4375,34.166666666666664,7.345833333333334,0.188875,22.18083333333333,187.66666666666666,3.804166666666666,0.0
CE,2020-02-05,24.0,2.1870833333333333,8.433333333333332,10.475,18.879166666666666,13.291666666666666,72.5,21.778750000000002,705.8166666666666,49.333333333333336,6.816666666666667,0.16758333333333333,14.752083333333333,117.41666666666667,7.091666666666668,0.0
CE,2020-02-06,24.0,2.124166666666667,7.591666666666666,8.4125,15.987499999999997,24.291666666666668,92.125,18.679583333333333,708.5958333333333,36.166666666666664,4.5125,0.16345833333333334,12.517916666666666,156.70833333333334,7.454166666666667,0.0
CE,2020-02-07,24.0,2.422916666666667,12.591666666666667,13.929166666666667,26.474999999999998,27.541666666666668,81.91666666666667,34.44375,709.7791666666667,31.166666666666668,6.325,0.18054166666666668,17.03708333333333,170.41666666666666,4.9750000000000005,0.0
CE,2020-02-08,24.0,2.5016666666666665,9.675,11.737500000000002,21.379166666666666,25.875,60.958333333333336,30.354583333333334,711.7166666666668,46.791666666666664,5.133333333333334,0.1791666666666667,18.952083333333334,154.54166666666666,5.75,0.0
CE,2020-02-09,24.0,2.3108333333333335,4.108333333333333,8.625,12.704166666666666,32.75,42.833333333333336,32.217619047619046,709.8208333333336,59.958333333333336,5.795833333333333,0.17295833333333333,21.65041666666666,162.83333333333334,4.1000000000000005,0.0
CE,2020-02-10,24.0,2.5545833333333334,6.533333333333334,10.516666666666667,17.033333333333335,34.25,124.5909090909091,39.72833333333333,708.5333333333332,54.208333333333336,3.8166666666666664,0.17904166666666668,23.681250000000002,202.91666666666666,4.875,0.0
CE,2020-02-11,24.0,2.5157142857142856,7.761904761904762,8.742857142857144,16.476190476190474,9.0,55.38095238095238,27.391499999999997,709.6476190476191,70.95238095238095,3.8285714285714287,0.17166666666666666,18.035714285714285,92.9047619047619,5.80952380952381,0.0
